DI	AFF	INST	TI	NAT
10.1017/S0030605315000599	{Chile}	{ Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Valdivia, Chile}	Large fires in the Andean Araucaria forests: when a natural ecological process becomes a threat	1
10.1038/NCLIMATE2658	{France}	{ UPMC, Univ Paris 04, CNRS, UMR METIS 7619,IPSL,EPHE, F-75252 Paris, France;  CEA, CNRS, UVSQ, Lab Sci Climat & Environm,IPSL, F-91191 Gif Sur Yvette, France}	Projected strengthening of Amazonian dry season by constrained climate model simulations	0
10.1002/gea.21512	{Chile}	{ Ctr Invest Hombre Desierto, Ctr Invest Hombre Desierto, Arica, Chile;  Univ Tarapaca, Inst Alta Invest, Lab Arqueol & Paleoambiente, Arica, Chile;  Univ Tarapaca, Inst Alta Invest, Arica, Chile;  Ctr Climate & Resilience Res CR 2, Santiago, Chile;  Pontificia Univ Catolica Chile, Dept Ecol, Santiago, Chile;  IEB, Santiago, Chile;  Univ Los Andes, Fac Ingn & Ciencias Aplicadas, Santiago, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Chile, Fac Ciencias Sociales, Dept Antropol, Santiago, Chile}	How Do Surficial Lithic Assemblages Weather in Arid Environments? A Case Study from the Atacama Desert, Northern Chile	9
10.1002/joc.4120	{Switzerland, Chile}	{ Univ Bern, Oeschger Ctr Climate Change Res, CH-3012 Bern, Switzerland;  Univ Bern, Inst Geog, CH-3012 Bern, Switzerland;  Univ Chile, Dept Geofis, Santiago, Chile}	Characterization of the 1970s climate shift in South America	1
10.1016/j.apgeog.2015.02.016	{Spain, Chile}	{ Univ La Frontera, Dept Ciencias Forestales, Lab Ecol Paisaje Forestal, Temuco, Chile;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Escuela Grad, Valdivia, Chile;  Univ Rey Juan Carlos, Area Biodiversidad & Conservac, E-28933 Madrid, Spain;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Ctr Climate & Resilience Res CR 2, Santiago, Chile}	Different times, same story: Native forest loss and landscape homogenization in three physiographical areas of south-central of Chile	4
10.1016/j.ecoser.2015.03.005	{Argentina, Chile}	{ Univ Austral Chile, Inst Econ Agr, Valdivia, Chile;  FORECOS, Fdn Ctr Basques Nativos, Valdivia, Chile;  Univ Chile, Dept Geofis, Ctr Invest Clima & Resiliencia CR2, Santiago, Chile;  Univ Nacl Mar Plata, INTA Balcarce, Fac Ciencias Agr, RA-7620 Balcarce, Argentina;  Fdn Bariloche, San Carlos De Bariloche, Rio Negro, Argentina;  Consejo Nacl Invest Cient & Tecn, RA-1033 Buenos Aires, DF, Argentina;  Univ Austral Chile, Fac Ciencias, Inst Ciencias Ambientales & Evolut, Menc Recursos Hidr,Ciencias, Valdivia, Chile;  Univ Austral Chile, Desarrollo Rural, Valdivia, Chile}	Mapping of ecosystem services: Missing links between purposes and procedures	5
10.1002/2014JD023014	{Chile}	{ Univ Chile, Dept Geofis, Fac Ciencias Fis & Matemat, Santiago, Chile}	Orographic effects of the subtropical and extratropical Andes on upwind precipitating clouds	1
10.1002/2015JD023126	{Ecuador, Peru, Chile, NY 12222 USA}	{ SUNY Albany, Dept Atmospher & Environm Sci, Albany, NY 12222 USA;  Univ Chile, Dept Geophys, Santiago, Chile;  Serv Nacl Meteorol & Hidrol, Lima, Peru;  Inst Nacl Meteorol & Hidrol, Quito, Ecuador}	Impact of the global warming hiatus on Andean temperature	1
10.1016/j.aogh.2015.06.008	{GA 30322 USA, GA 30602 USA, Chile}	{ Univ Chile, Fac Med, Sch Publ Hlth, Santiago 7, Chile;  Univ Chile, Fac Phys Sci & Math, Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Chile, Fac Phys Sci & Math, Dept Geophys, Santiago, Chile;  Catholic Univ, Fac Med, Adv Ctr Chron Dis, Dept Publ Hlth, Santiago, Chile;  Minist Hlth Santiago, Subsecretariat Publ Hlth, Div Healthy Publ Policy & Advocacy, Dept Environm Hlth, Santiago, Chile;  Emory Univ, Rollins Sch Publ Hlth, Dept Environm Hlth, Atlanta, GA 30322 USA;  Univ Georgia, Coll Publ Hlth, Environm Hlth Sci, Athens, GA 30602 USA}	Chile Confronts its Environmental Health Future After 25 Years of Accelerated Growth	5
10.1002/2014JC010410	{Chile, France}	{ Univ Paris 06, Sorbonne Univ, Lab Oceanog Microbienne LOMIC, Observ Oceanol, Banyuls Sur Mer, France;  Univ Concepcion, Dept Oceanog, COPAS SurAustral Program, Concepcion, Chile;  Univ Concepcion, Interdisciplinary Ctr Aquaculture Res INCAR, Concepcion, Chile;  Univ Concepcion, Grad Program Oceanog, Dept Oceanog, Concepcion, Chile;  Univ Playa Ancha, Fac Ciencias Nat & Exactas, Dept Biol, Valparaiso, Chile;  Univ Concepcion, Dept Oceanog, Ctr Climate & Resilience Res, Concepcion, Chile}	Temporal and spatial variability of biological nitrogen fixation off the upwelling system of central Chile (35-38.5 degrees S)	5
10.1016/j.quascirev.2015.01.031	{Denmark, Netherlands, Italy, Chile, France}	{ CEA, CNRS, UVSQ, Inst Pierre Simon Laplace,LSCE,UMR 8212, F-91198 Gif Sur Yvette, France;  Univ Trieste, Dept Math & Geosci, I-34127 Trieste, Italy;  Ca Foscari Univ Venice, Dept Environm Sci Informat & Stat, Venice, Italy;  Univ Parma, Dept Phys & Earth Sci, I-43100 Parma, Italy;  Vrije Univ Amsterdam, Fac Earth & Life Sci, Earth & Climate Cluster, Amsterdam, Netherlands;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Univ Bretagne Occidentale, Lab Phys Oceans, UMR 6523, Brest, France;  Univ Copenhagen, Niels Bohr Inst, Ctr Ice & Climate, DK-2100 Copenhagen, Denmark}	A review of the bipolar see-saw from synchronized and high resolution ice core water stable isotope records from Greenland and East Antarctica	1
10.1016/j.foreco.2015.01.018	{CO 80309 USA, Chile}	{ Univ Colorado, Dept Geog, Biogeog Lab, Boulder, CO 80309 USA;  Univ Austral Chile, Lab Dendrocronol & Cambio Global, Inst Conservac Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Chile, Fac Ciencias Fis & Matemat, Dept Geol, Santiago, Chile}	Relationships between climate variability and radial growth of Nothofagus pumilio near altitudinal treeline in the Andes of northern Patagonia, Chile	3
10.1088/1748-9326/10/4/044017	{Chile}	{ Univ Concepcion, Dept Oceanog, Lab Oceanog Proc & Climate PROFC, Concepcion, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Fishing Dev Inst IFOP, Dept Environm, Chiloe, Chile;  P Catholic Univ Valparaiso, Sch Marine Sci, Valparaiso, Chile}	Presence of nitrous oxide hotspots in the coastal upwelling area off central Chile: an analysis of temporal variability based on ten years of a biogeochemical time series	4
10.4067/S0718-19572015000100008	{Chile, Colombia}	{ Univ Tolima, Dept Biol, Lab Ecol Microbiana, Ibague, Colombia;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Concepcion, Inst Milenio Oceanog, Concepcion, Chile;  Univ Concepcion, Ctr Ciencia Clima & Resiliencia CR 2, Dept Oceanog, Concepcion, Chile}	Structure of denitrifying communities reducing N2O at suboxic waters off northern Chile and Peru	3
10.1175/BAMS-D-13-00175.1	{Chile}	{ Univ Chile, Dept Geophys, Santiago, Chile;  Ctr Climate & Resilience Res, Santiago, Chile}	THE ATACAMA SURFACE SOLAR MAXIMUM	2
10.1016/j.quaint.2014.09.076	{Chile}	{ Ctr Invest Hombre Desierto CIHDE, Arica, Chile;  Ctr Ciencia Clima & Resiliencia CR2, Santiago, Chile;  Pontificia Univ Catolica Chile, Dept Ecol, Santiago, Chile;  IEB, Santiago, Chile;  Univ Tarapaca, IAI, Arica, Chile}	Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16 degrees-25 degrees S)	5
10.1016/j.agrformet.2014.10.001	{Canada, England, Chile}	{ Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England;  Univ Quebec Chicoutimi, Dept Sci Fondamentales, Chicoutimi, PQ G7H 2B1, Canada;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Lab Dendrocronol & Cambio Global, Valdivia, Chile;  Univ Chile, Fac Ciencias Fis & Matemat, Ctr Climate & Resilience Res CR 2, Santiago, Chile;  Fdn Ctr Los Bosques Nativos FORECOS, Valdivia, Chile}	Environmental correlates of stem radius change in the endangered Fitzroya cupressoides forests of southern Chile	3
10.5194/cp-11-1575-2015	{New Zealand, Chile}	{ Univ Chile, Dept Geophys, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res CR2, Santiago, Chile;  Millennium Nucleus Paleoclimate Southern Hemisphe, Santiago, Chile;  Victoria Univ Wellington, Antarctic Res Ctr, Wellington, New Zealand;  Pontificia Univ Catolica Chile, Inst Geog, Santiago, Chile;  Univ Chile, Dept Ecol Sci, Santiago, Chile;  Univ Chile, Inst Ecol & Biodivers, Santiago, Chile}	Modelled glacier equilibrium line altitudes during the mid-Holocene in the southern mid-latitudes	6
10.4067/S0717-92002015000300006	{Chile}	{ Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Valdivia, Chile}	Tree-fall gaps and patterns of tree recruitment and growth in Andean old-growth forests in south-central Chile	1
10.5354/0718-0527.2015.37324	{Chile}	{ Univ Chile, Ctr Clima & Resiliencia Cr2, Nucl Interdisciplinario Estudios Socioambientales, Dept Anthropol, Santiago 6850331, Chile;  Univ Chile, Ctr Clima & Resiliencia Cr2, Nucl Interdisciplinario Estudios Socioambientales, Santiago 6850331, Chile}	The Observation of the Environmental Problem in the Context of Functional Differentiation	2
10.1093/aobpla/plv058	{Chile, Spain}	{ Univ Pais Vasco UPV EHU, Dept Biol Vegetal & Ecol, E-48080 Bilbao, Spain;  Univ Austral Chile, Lab Ecofisiol Conservac Bosques, Inst Conservac Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Valdivia, Chile;  Univ Austral Chile, Lab Dendrocronol & Cambio Global, Inst Conservac Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Valdivia, Chile;  Ctr Climate & Resilience Res, Santiago, Chile}	Photosynthetic responses of trees in high-elevation forests: comparing evergreen species along an elevation gradient in the Central Andes	3
10.5194/bg-12-1925-2015	{Colombia, Chile, France}	{ Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Ctr Ciencia Clima & Resiliencia CR, Concepcion, Chile;  Univ Magdalena, Programa Biol, Santa Marta, Colombia;  Pontificia Univ Catolica Valparaiso, Escuela Ciencias Mar, Valparaiso, Chile;  IFREMER, LEMAR, CNRS, UMR6539,UBO,IRD, F-29280 Plouzane, France;  Univ Paris 06, Sorbonne Univ, Observ Oceanol, UMR7621,Lab Oceanog Microbienne, F-66650 Banyuls Sur Mer, France;  Univ Concepcion, COPAS SA Program, Dept Oceanog, Concepcion, Chile;  Univ Concepcion, Interdisciplinary Ctr Aquaculture Res INCAR, Concepcion, Chile}	Dissolved greenhouse gases (nitrous oxide and methane) associated with the naturally iron-fertilized Kerguelen region (KEOPS 2 cruise) in the Southern Ocean	5
10.3354/cr01268	{Turkey, Germany, Chile}	{ Univ Chile, Ctr Climate & Resilience Res CR 2, Dept Geophys, Santiago, Chile;  Istanbul Tech Univ, Eurasia Inst Earth Sci, TR-80626 Istanbul, Turkey;  Max Planck Inst Meteorol, D-20146 Hamburg, Germany}	Projected river discharge in the Euphrates-Tigris Basin from a hydrological discharge model forced with RCM and GCM outputs	1
10.1016/j.gloenvcha.2014.10.010	{Australia, Chile}	{ Univ Chile, Dept Environm Sci & Resource Management, Santiago 8820808, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Melbourne, Dept Resource Management & Geog, Melbourne, Vic 3010, Australia;  SCIRO, Climate Adaptat Flagship, Canberra, ACT 2601, Australia;  RMIT Univ, Ctr Risk & Community Safety, Melbourne, Vic 3001, Australia}	'Resilience for disaster risk management in a changing climate: Practitioners'' frames and practices'	2
10.1111/jbi.12377	{Brazil, Canada, Israel, Australia, AZ 86011 USA, Peru, Mexico, Tunisia, Peoples R China, Poland, Morocco, Ecuador, OH 43210 USA, VT 05405 USA, Chile, Kenya, Iran, Argentina, Venezuela, Spain}	{ Nicolaus Copernicus Univ Torun, Chair Ecol & Biogeog, PL-87100 Torun, Poland;  Univ Rey Juan Carlos, Dept Biol & Geol, Area Biodiversidad & Conservac, Mostoles, Spain;  Univ Vermont, Dept Biol, Burlington, VT 05405 USA;  Univ Cordoba, Escuela Tecn Super Ingn Agron & Montes, Dept Ingn Forestal, Cordoba, Spain;  Univ Pablo de Olavide, Dept Sistemas Fis Quim & Nat, Seville, Spain;  No Arizona Univ, Sch Forestry, Flagstaff, AZ 86011 USA;  Univ New S Wales, Sch Biol Earth & Environm Sci, Sydney, NSW, Australia;  Univ Politecn Madrid, Dept Ingn & Morfol Terreno, Madrid, Spain;  Univ Nacl La Pampa, Fac Agron, La Pampa, Argentina;  Inst Potosino Invest Cient & Tecnol, Div Ciencias Ambientales, San Luis Potosi, Mexico;  Inst Nacl Tecnol Agr, Estn Expt San Carlos Bariloche, San Carlos De Bariloche, Rio Negro, Argentina;  Univ Tecn Particular Loja, Inst Ecol, Loja, Ecuador;  Univ La Serena, Dept Biol, La Serena, Chile;  Univ Sfax, UR Plant Biodivers & Ecosyst Arid Environm, Fac Sci, Sfax, Tunisia;  Univ Ctr Occidental Lizandro Alvarado, Dept Suelos, Barquisimeto, Estado Lara, Venezuela;  Direct Reg Eaux & Forets & Lutte Desertificat Rif, Tetouan, Morocco;  Cent Univ Venezuela, Inst Edafol, Fac Agron, Caracas, Estado Aragua, Venezuela;  CCT Mendoza, IANIGLA, Mendoza, Argentina;  Univ Bio Bio, Dept Ciencias Basicas, Lab Genom & Biodiversidad, Chillan, Chile;  Ctr Estudios Avanzados Zonas Aridas, La Serena, Chile;  Inst Ecol & Biodiversidad, Santiago, Chile;  Univ Expt Simon Rodriguez, Ctr Agroecol Trop, Lab Biogeoquim, Caracas, Venezuela;  Ferdowsi Univ Mashhad, Dept Range & Watershed Management, Mashhad, Iran;  No Arizona Univ, Ctr Ecosyst Sci & Soc, Flagstaff, AZ 86011 USA;  Univ Fed Minas Gerais, Dept Biol, Belo Horizonte, MG, Brazil;  Ohio State Univ, Dept Evolut Ecol & Organismal Biol, Columbus, OH 43210 USA;  Univ Quebec, Dept Sci Biol, Montreal, PQ H3C 3P8, Canada;  Natl Museums Kenya, Dept Zool, Nairobi, Kenya;  Univ Nacl San Juan, Fac Ciencias Exactas Fis & Nat, Dept Biol, San Juan, Argentina;  Int Potato Ctr, Prod Syst & Environm Subprogram, Lima, Peru;  Agr Res Org, Gilat Res Ctr, Dept Nat Resources & Citriculture, IL-85280 Negev, Israel;  Univ Estadual Feira de Santana, Dept Ciencias Biol, Feira De Santana, Brazil;  Museo Nacl CCNN, Dept Ecol Evolut, Madrid, Spain;  NE Normal Univ, Inst Grassland Sci, Key Lab Vegetat Ecol, Changchun, Peoples R China}	Climate and soil attributes determine plant species turnover in global drylands	4
10.4319/lo.2014.59.6.1865	{Denmark, Chile}	{ Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Concepcion, Dept Oceanog, Programa Postgrad Oceanog, Concepcion, Chile;  Univ Southern Denmark, Dept Biol, Odense M, Denmark;  Univ Southern Denmark, Nord Ctr Earth Evolut NordCEE, Odense M, Denmark;  Univ Concepcion, Lab Proc Oceanog & Clima PROFC, Concepcion, Chile;  Ctr Ciencia Clima & Resiliencia CR2, Santiago, Chile}	Temporal dynamics of nitrogen loss in the coastal upwelling ecosystem off central Chile: Evidence of autotrophic denitrification through sulfide oxidation	4
10.1038/ncomms5375	{Argentina, Chile}	{ Univ Chile, Dept Ecol Sci, Santiago, Chile;  Univ Chile, Inst Ecol & Biodivers, Santiago, Chile;  Univ Chile, Ctr Climate Res & Resilience, Santiago 8370449, Chile;  Consejo Nacl Invest Cient & Tecn, Museo Argentino Ciencias Nat Bernardino Rivadavia, Secc Palinol Cuaternario, Buenos Aires, DF, Argentina;  Univ Magallanes, Punta Arenas 6210427, Chile;  Univ Chile, Dept Geophys, Santiago 8370449, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile}	Southern Annular Mode-like changes in southwestern Patagonia at centennial timescales over the last three millennia	6
10.1002/2013JD021110	{Canada, WA 99352 USA, England, Norway, France, Germany, Chile, NJ 08903 USA, Japan, Peoples R China, CO 80307 USA}	{ Univ Chile, Dept Geophys, Santiago, Chile;  Univ Oslo, Dept Geosci, Oslo, Norway;  Environm Canada, Canadian Ctr Climate Modelling & Anal, Toronto, ON, Canada;  Univ Victoria, Sch Earth & Ocean Sci, Victoria, BC, Canada;  Beijing Normal Univ, Coll Global Change & Earth Syst Sci, State Key Lab Earth Surface Proc & Resource Ecol, Beijing 100875, Peoples R China;  Met Off Hadley Ctr, Exeter, Devon, England;  Pacific NW Natl Lab, Atmospher Sci & Global Change Div, Richland, WA 99352 USA;  Max Planck Inst Meteorol, D-20146 Hamburg, Germany;  Rutgers State Univ, Dept Environm Sci, New Brunswick, NJ 08903 USA;  Norwegian Meteorol Inst, Oslo, Norway;  Natl Ctr Atmospher Res, Boulder, CO 80307 USA;  Japan Agcy Marine Earth Sci & Technol, Yokohama, Kanagawa, Japan;  UPMC, CNRS, IPSL, Lab Meteorol Dynam, Paris, France}	Forcings and feedbacks in the GeoMIP ensemble for a reduction in solar irradiance and increase in CO2	1
10.1038/nature13196	{Germany, Chile, MA 02543 USA}	{ Univ Bremen, MARUM Ctr Marine Environm Sci, D-28359 Bremen, Germany;  Woods Hole Oceanog Inst, Woods Hole, MA 02543 USA;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Fed Inst Geosci & Nat Resources, D-30655 Hannover, Germany}	North Atlantic forcing of tropical Indian Ocean climate	1
10.1016/j.ecolind.2014.01.005	{Argentina, Chile}	{ Univ Austral Chile, Inst Econ Agr, Valdivia, Chile;  Fdn Ctr Bosques Nativos FORECOS, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Concepcion, Chile;  Univ Nacl Mar del Plata, Fac Ciencias Agr, CONICET, Unidad Integrada Balcarce EEA Balcarce,Inst Nacl, Balcarce, Argentina;  Univ Concepcion, Ctr EULA, Concepcion, Chile}	A mapping approach to assess intangible cultural ecosystem services: The case of agriculture heritage in Southern Chile	4
10.1002/2013JD021160	{Argentina, Chile}	{ Univ Chile, Dept Geophys, Santiago, Chile;  Ctr Climate & Resilience Res, Santiago, Chile;  UNIDEF MINDEF CONICET, CEILAP, Buenos Aires, DF, Argentina;  Univ Nacl Cordoba, FaMAF, IFEG CONICET, RA-5000 Cordoba, Argentina}	Lightning in Western Patagonia	2
10.1016/j.quascirev.2014.02.021	{Chile}	{ Univ Chile, Dept Ciencias Ecol, Santiago, Chile; Univ Chile, Inst Ecol & Biodiversidad, Santiago, Chile}	Vegetation, fire and climate change in central-east Isla Grande de Chi loe (43 degrees S) since the Last Glacial Maximum, northwestern Patagonia	2
10.1016/j.quascirev.2014.01.024	{New Zealand, Chile}	{ Inst Ecol & Biodivers, Santiago, Chile;  Victoria Univ Wellington, Sch Geog Environm & Earth Sci, Wellington 6140, New Zealand;  Univ Chile, Dept Ecol Sci, Santiago, Chile}	Climatic and disturbance influences on the temperate rainforests of northwestern Patagonia (40 degrees S) since similar to 14,500 cal yr BP	2
10.1111/aec.12054	{Canada, Austria, England, Argentina, Chile}	{ Univ Tecn Federico Santa Maria, Ctr Tecnol Ambient, Valparaiso, Chile;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Lab Dendrocronol & Cambio Global, Valdivia 5090000, Chile;  Univ Austral Chile, Ctr Estudios Ambient CEAM, Valdivia, Chile;  Univ Chile, Fac Ciencias Fis & Matemat, Dept Geol, Santiago, Chile;  Univ E Anglia, Sch Environm Sci, Climat Res Unit CRU, Norwich NR4 7TJ, Norfolk, England;  Vienna Univ Technol, Inst Photogrammetry & Remote Sensing, A-1040 Vienna, Austria;  Univ Regina, Prairie Adaptat Res Collaborat PARC, Regina, SK S4S 0A2, Canada;  Consejo Nacl Invest Cient & Tecn, Inst Argentino Nivol Glaciol & Ciencias Ambiental, Mendoza, Argentina}	Patterns and drivers of Araucaria araucana forest growth along a biophysical gradient in the northern Patagonian Andes: Linking tree rings with satellite observations of soil moisture	4
10.1016/j.habitatint.2013.12.008	{Mexico, MO 65211 USA, Colombia, Chile, CO 80307 USA}	{ Natl Ctr Atmospher Res, Boulder, CO 80307 USA;  Metropolitan Autonomous Univ, Mexico City, DF, Mexico;  Ctr Climate & Resilience Res, Santiago, Chile; Univ Missouri, Columbia, MO 65211 USA;  Univ Nacl Colombia, Bogota, Colombia}	Scale, urban risk and adaptation capacity in neighborhoods of Latin American cities	1
10.4209/aaqr.2013.03.0082	{South Korea, Chile}	{ Ctr Climate & Resilience Res CR 2, Santiago, Chile;  Univ Chile, CNRS UMI 2807, Ctr Modelamiento Matemat, Santiago, Chile;  Univ Chile, Dept Geofis, Santiago, Chile;  Ewha Womans Univ, Dept Environm Sci & Engn, Seoul, South Korea}	Satellite Retrievals of Aerosol Optical Depth over a Subtropical Urban Area: The Role of Stratification and Surface Reflectance	3
10.1002/joc.3724	{KS 66045 USA, Chile}	{ Univ Chile, Fac Ciencias Fis & Matemat, Dept Geofis, Santiago, Chile;  Univ Kansas, Dept Geog, Atmospher Sci Program, Lawrence, KS 66045 USA;  Univ Chile, Ctr Climate & Resilience Res CR 2, Santiago, Chile}	A synoptic climatology of the near-surface wind along the west coast of South America	2
10.1175/BAMS-D-11-00246.1	{CA 90045 USA, HI 96822 USA, England, Peru, CO USA, MA 02543 USA, NC 27695 USA, Chile, FL 33149 USA, WA 98195 USA, OR 97331 USA}	{ Univ Calif Los Angeles, Dept Atmospher & Ocean Sci, Los Angeles, CA 90045 USA;  Univ Washington, Dept Atmospher Sci, Seattle, WA 98195 USA;  Woods Hole Oceanog Inst, Dept Phys Oceanog, Woods Hole, MA 02543 USA;  Univ Hawaii Manoa, Dept Oceanog, Honolulu, HI 96822 USA;  Univ Manchester, Sch Earth Atmospher & Environm Sci, Manchester, Lancs, England;  NOAA, Earth Syst Res Lab, Boulder, CO USA;  Univ Chile, Dept Geophys, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Inst Mar Peru, Circuito Callao, Peru;  Oregon State Univ, Coll Earth Ocean & Atmospher Sci, Corvallis, OR 97331 USA;  N Carolina State Univ, Dept Marine Earth & Atmospher Sci, Raleigh, NC 27695 USA;  Univ Miami, Rosenstiel Sch Marine & Atmospher Sci, Miami, FL 33149 USA}	OCEAN-CLOUD-ATMOSPHERELAND INTERACTIONS IN THE SOUTHEASTERN PACIFIC	2
10.1016/j.dynatmoce.2013.11.001	{Chile}	{ Univ Chile, Dept Geofis, Santiago, Chile;  CEAZA, La Serena, Chile}	Surface ocean response to synoptic-scale variability in wind stress and heat fluxes off south-central Chile	2
10.1093/mnras/stt2404	{New Zealand, Germany, Chile}	{ ESO, Karl Schwarzschild Str 2, D-85748 Garching, Germany;  Univ Chile, Dept Ingn Elect, Santiago, Chile;  Natl Inst Water & Atmospher Res NIWA, Lauder, New Zealand;  Univ Chile, Dept Geofis, Santiago, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Valparaiso, Dept Fis & Astron, Valparaiso, Chile;  ESO, Santiago, Chile;  Radiometer Phys GmbH, D-53340 Meckenheim, Germany}	An episode of extremely low precipitable water vapour over Paranal observatory	5
10.1175/MWR-D-13-00259.1	{Chile}	{ Univ Chile, Fac Ciencias Fis & Matemat, Dept Geofis, Santiago, Chile}	Summer Precipitation Events over the Western Slope of the Subtropical Andes	1
10.1016/j.compfluid.2013.11.012	{Chile}	{ Univ Chile, Dept Geofis, Santiago, Chile}	OpenFOAM applied to the CFD simulation of turbulent buoyant atmospheric flows and pollutant dispersion inside large open pit mines under intense insolation	1
10.1007/s10980-014-9993-2	{OH 43015 USA, Scotland, Chile, France}	{ US Forest Serv, Delaware, OH 43015 USA;  Univ Concepcion, Fac Ciencias Forest, Lab Ecol Paisaje, Concepcion, Chile;  Univ Austral Chile, Inst Econ Agr, Valdivia, Chile;  Univ Austral Chile, Ctr Climate & Resilience Res, Valdivia, Chile;  Natl Res Inst Sci & Technol Environm & Agr, IRSTEA, Clermont Ferrand, France;  Univ St Andrews, Dept Geog & Sustainable Dev, St Andrews, Fife, Scotland}	Ecosystem services in changing landscapes: An introduction	3
10.1007/s10980-013-9958-x	{Chile}	{ Univ Austral Chile, Inst Econ Agr, Valdivia, Chile;  FORECOS, Fdn Ctr Bosques Nat, Valdivia, Chile;  Ctr Climate & Resilience Res, Santiago, Chile;  Univ Concepcion, Ctr EULA, Concepcion, Chile;  Univ Concepcion, Fac Ciencias Forestales, Lab Ecol Paisaje, Concepcion, Chile}	Land use change and ecosystem services provision: a case study of recreation and ecotourism opportunities in southern Chile	5
10.1007/s10980-013-9959-9	{Argentina, Chile}	{ Univ Nacl Mar del Plata, Inst Nacl Tecnol Agr, Fac Ciencias Agr, CONICET,Unidad Integrada Balcarce EEA Balcarce, Route 226 Km 73-5,CC 276, RA-7620 Balcarce, Argentina;  Univ Austral Chile, Inst Econ Agr, Valdivia, Chile;  FORECOS, Fdn Ctr Bosques Nat, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Concepcion, Chile}	Concepts and methods for landscape multifunctionality and a unifying framework based on ecosystem services	3
10.1126/science.1245424	{NY 10964 USA, Switzerland, Germany, Chile, NY 10027 USA}	{ Alfred Wegener Inst AWI Helmholtz Zentrum Polar &, Bremerhaven, Germany;  MARUM Ctr Marine Environm Sci, Bremen, Germany;  Columbia Univ, Lamont Doherty Earth Observ, Palisades, NY 10964 USA;  Columbia Univ, Dept Earth & Environm Sci, New York, NY 10027 USA;  Swiss Fed Inst Technol, Inst Geol, Zurich, Switzerland;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Univ Trier, Fachbereich Raum & Umweltwissensch, Trier, Germany}	Increased Dust Deposition in the Pacific Southern Ocean During Glacial Periods	1
10.4067/S0717-92002014000300001	{Chile}	{ Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Lab Ecol Bosques, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Univ Catolica Temuco, Fac Recursos Nat, Escuela Ciencias Ambientales, Temuco, Chile}	Natural recovery of the evergreen forest affected by clearcutting and burning in the Valdivian Coastal Reserve, Chile	2
10.5194/gmd-7-1803-2014	{Denmark, Chile}	{ Ctr Adv Res Arid Zones, La Serena, Chile;  Ctr Climate & Resilience Res, Santiago, Chile;  Univ Copenhagen, Niels Bohr Inst, DK-2100 Copenhagen, Denmark;  Univ Concepcion, Dept Geophys, Concepcion, Chile}	Formulation, calibration and validation of the DAIS model (version 1), a simple Antarctic ice sheet model sensitive to variations of sea level and ocean subsurface temperature	3
10.1108/DPM-07-2013-0130	{Australia, Chile}	{ Univ Chile, Dept Environm Sci & Resource Management, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res CR 2, Santiago, Chile;  Univ Melbourne, Dept Resource Management & Geog, Melbourne, Vic 3010, Australia;  RMIT Univ, Ctr Risk & Community Safety, Melbourne, Vic, Australia;  CSIRO, Climate Adaptat Flagship, Canberra, ACT, Australia}	"Framing disaster resilience The implications of the diverse conceptualisations of ""bouncing back"""	2
